,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,transcript_number
0,0.0,0.0,0.0,0.0,0.016939390164155226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014390167135458726,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0.1281566199134378,0.0,0.0,0.0,0.0,0.05415281478096457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14945618194692276,0.0,0.05538707270341761,0.0,0.0,0.0,0.0,1
2,0.0,0.0,0.0,0.0,0.11976552394128614,0.027171286844438123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06097753970853744,0.0,0.06213240277382635,0.0,0.0,0.0,0.0,2
3,0.0,0.0,0.0,0.0,0.05035224159558614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010958398381868998,0.0,0.0,0.0,0.0,3
4,0.0,0.0,0.0,0.0,0.12985001628597578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039329213400681816,0.0,0.0,0.0,0.0,0.0,0.0,4
5,0.0,0.0,0.0,0.0,0.12451517209410667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013774238526821136,0.0,0.013338961948951086,0.0,0.0,0.0,0.0,5
6,0.0,0.0,0.0,0.0,0.10002857561294849,0.048147459442798905,0.0,0.0,0.0,0.0,0.020007069294269268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
7,0.0,0.0,0.0,0.0,0.10407839994877577,0.0,0.0,0.0,0.0,0.0,0.030843403190374374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061069462448358536,0.0,0.039540406316518784,0.0,0.0,0.0,0.0,7
8,0.0,0.0,0.0,0.01282404418344851,0.027149070192266395,0.0,0.0,0.0,0.0,0.03594544198777941,0.031851516829596624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0431765615940094,0.0,0.021903351501182274,0.0,0.0,0.013152665562099881,0.0,8
9,0.0,0.0,0.0,0.0,0.1503311533194322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026257833609214194,0.0,0.06954062443513137,0.0,0.0,0.0,0.0,9
