,positive,negative,ambiguous,transcript_number
0,0.0,0.0,0.0,0
1,0.11296797149321612,0.01861972493283889,0.0,1
2,0.11191865224992076,0.0,0.0,2
3,0.0,0.0,0.0,3
4,0.019272870073715847,0.012666791677474976,0.0,4
5,0.04371694351236025,0.0,0.0,5
6,0.0549191958629168,0.0,0.0,6
7,0.026427309960126877,0.015009541995823383,0.0,7
8,0.06108329803855331,0.03999001891524703,0.0,8
9,0.03053411268270933,0.0,0.0,9
10,0.08941810826460521,0.0,0.0,10
11,0.09670474583452399,0.0,0.0,11
12,0.074250408411026,0.0,0.0,12
13,0.07468477808512174,0.0,0.0,13
14,0.06793083864099839,0.01757490634918213,0.0,14
15,0.09758568741381168,0.011704185977578163,0.0,15
16,0.07671236140387398,0.0,0.0,16
17,0.08706097304821014,0.0,0.0,17
18,0.03295547181162341,0.0,0.012245962332034933,18
19,0.09245163643801654,0.0,0.0,19
20,0.03568692161486699,0.0,0.0,20
21,0.02594331594613882,0.0,0.0,21
22,0.08744359221951715,0.0,0.0,22
23,0.05279570005156777,0.0,0.0220342833887447,23
24,0.07189096270069,0.0,0.0,24
25,0.13743791189687005,0.0,0.0,25
26,0.1480993813481824,0.0,0.0,26
27,0.04424813032150268,0.0,0.0,27
28,0.02017003297805786,0.0,0.0,28
29,0.04018130898475647,0.0,0.0,29
30,0.05636356826181765,0.0,0.0,30
31,0.0881507138411204,0.0,0.0,31
32,0.0,0.016005040407180787,0.0,32
33,0.07600604313792604,0.0,0.0,33
34,0.06013763053663846,0.0,0.0,34
35,0.038431347608566285,0.028891775608062744,0.0,35
36,0.0491375724474589,0.0,0.0,36
37,0.09646382386034186,0.0,0.0,37
38,0.06234539274511666,0.0,0.0,38
39,0.07508928179740906,0.0,0.0,39
40,0.04277530771035414,0.01455293595790863,0.0,40
41,0.07970642298460007,0.021077439188957214,0.0,41
42,0.15658423525315743,0.03387024998664856,0.0,42
43,0.020050403746691616,0.0,0.0,43
44,0.0,0.0,0.0,44
45,0.02674023755665483,0.0,0.0,45
46,0.06239767648555614,0.0,0.0,46
47,0.02154010348021984,0.0,0.0,47
48,0.11818430505015633,0.0,0.0,48
49,0.12106709003448486,0.015319103002548217,0.0,49
50,0.20758649990672157,0.03238764121418908,0.0,50
51,0.0,0.0,0.0,51
52,0.038067118575175606,0.03350662191708883,0.0,52
53,0.18806428586443266,0.0,0.0,53
54,0.10884988651825832,0.01545487458889301,0.0,54
55,0.053251489594176006,0.018578528552441985,0.0,55
56,0.0991750568151474,0.0,0.011852460106213887,56
57,0.05514996855155281,0.0,0.015044168285701586,57
58,0.034120836983556335,0.0,0.0,58
59,0.01202418442283358,0.012050635048321314,0.0,59
60,0.02187255918979645,0.00772438645362854,0.0,60
61,0.16874649907861436,0.0,0.0,61
62,0.013057868480682373,0.0,0.0,62
63,0.018538082087481464,0.03157649216828523,0.0,63
64,0.07620610348109541,0.0,0.0,64
65,0.08663328630583626,0.0,0.0,65
66,0.12215314308802287,0.0,0.0,66
67,0.24405858027083532,0.0,0.0,67
68,0.03891048408471621,0.0,0.0,68
69,0.12003804184496403,0.0,0.0,69
70,0.03783119563013315,0.0,0.009601069614291191,70
71,0.012728077173233033,0.047241106033325195,0.0,71
72,0.08298818707466125,0.0,0.0,72
73,0.0450901316873955,0.0,0.0,73
74,0.0,0.0,0.0,74
75,0.13307284315427145,0.0,0.0,75
76,0.013159652551015219,0.0,0.0,76
77,0.017656731605529784,0.0,0.0,77
78,0.06709667202085257,0.0,0.0,78
79,0.021611427267392475,0.0,0.0,79
80,0.017938341200351714,0.0,0.0,80
81,0.0343935489654541,0.0,0.0,81
82,0.0719687996002344,0.0,0.0,82
83,0.02813781992248867,0.0,0.0,83
84,0.08903666657786216,0.0,0.0,84
85,0.08074738740921021,0.0,0.0,85
86,0.1000259713879947,0.0,0.0,86
87,0.09192332341557458,0.0,0.0,87
88,0.07396011169140156,0.042698571315178506,0.0,88
89,0.10246422542975499,0.012371702836110042,0.0,89
90,0.09740673093234792,0.0,0.0,90
91,0.05130305602436974,0.0,0.0,91
92,0.06855778813362122,0.03446866035461426,0.0,92
93,0.03561234363803157,0.0,0.0,93
94,0.04366233746210734,0.0,0.025728251536687216,94
95,0.07766667696145865,0.0,0.0,95
96,0.09934566356241703,0.0,0.0,96
97,0.07792712854487556,0.0,0.0,97
98,0.07218100201515924,0.0,0.0,98
99,0.04763016424008778,0.0,0.0,99
100,0.25189205152647837,0.0,0.0,100
101,0.04449191831407093,0.0,0.0,101
102,0.06937402486801147,0.01803261854431846,0.0,102
103,0.06770573596696595,0.0,0.0,103
104,0.14322181094077327,0.011498696381045927,0.0,104
105,0.11587956390882793,0.0,0.03574014337439286,105
106,0.060165791772305965,0.0,0.0,106
107,0.04232877589041187,0.0,0.0,107
108,0.030594205414807354,0.01902750465604994,0.0,108
109,0.11736870589463608,0.0,0.0,109
110,0.15923612978723314,0.0,0.0,110
111,0.05623059471448263,0.0,0.0,111
112,0.04725390315055847,0.0,0.0,112
113,0.016258473694324493,0.023291337490081786,0.0,113
114,0.05866721272468567,0.0,0.0,114
115,0.029731217485207777,0.0,0.0,115
116,0.08194211475989398,0.02522727584137636,0.0,116
117,0.15474835357495717,0.0,0.0,117
118,0.032114272767847236,0.0,0.0,118
119,0.04950840822581587,0.0,0.0,119
120,0.056909605860710144,0.0,0.0,120
121,0.07234313927198711,0.0,0.0,121
122,0.07615420619646708,0.0,0.0,122
123,0.04797811670736833,0.0,0.0,123
124,0.07028442307522423,0.0,0.0,124
125,0.0,0.0,0.013816124449173609,125
126,0.09768269538879394,0.0,0.0,126
127,0.1368001389503479,0.0,0.0,127
128,0.029683841311413307,0.0,0.03789987512256788,128
129,0.043156972637882936,0.0,0.0,129
130,0.08896295726299286,0.0,0.0,130
131,0.06956660605612255,0.0,0.0,131
132,0.05951724410057068,0.0,0.0,132
133,0.06028678072126288,0.0,0.0,133
134,0.030810932700450603,0.0,0.0,134
135,0.01771547943353653,0.0,0.0,135
136,0.06651653548081717,0.0,0.0,136
137,0.07170231640338898,0.0,0.0,137
138,0.013535042066831846,0.012981225509901304,0.0,138
139,0.014229504899545149,0.014105256308208813,0.0,139
140,0.06474549406104618,0.011244771381219229,0.0,140
141,0.0,0.0,0.0,141
142,0.1865124191556658,0.0,0.0,142
143,0.0939982132269786,0.02460297254415659,0.0,143
144,0.09340992238786486,0.0,0.0,144
145,0.0,0.0,0.0,145
146,0.054031678438186646,0.0,0.0,146
147,0.02407926321029663,0.0,0.0,147
148,0.013771067966114391,0.0,0.0,148
149,0.06047855317592621,0.0,0.0,149
150,0.029127451004805387,0.0,0.0,150
151,0.09713328842605863,0.030358347509588515,0.0,151
152,0.03269852833314375,0.014554707389889341,0.0,152
153,0.06783784811313336,0.0,0.01858483598782466,153
154,0.05718490137503697,0.0,0.0,154
155,0.0,0.031161785125732422,0.0,155
156,0.1201910749077797,0.0,0.0,156
157,0.04351648010990836,0.0,0.0,157
158,0.08713425882160664,0.0,0.0,158
159,0.0717486428177875,0.0,0.0,159
160,0.11678625345230102,0.0,0.0,160
161,0.024839922785758972,0.0,0.0,161
162,0.11630890846252441,0.0,0.0,162
163,0.11679708573126024,0.0145973966967675,0.0,163
164,0.06343984909546681,0.0,0.0,164
165,0.10440570328916822,0.0,0.0,165
166,0.02925857404867808,0.0,0.0,166
167,0.0331064808753229,0.01402300307827611,0.0,167
168,0.031790662270325884,0.0,0.0,168
169,0.07114221609157065,0.0,0.0,169
170,0.11995776237980012,0.0,0.0,170
171,0.09710978125703745,0.016472830854613204,0.0,171
172,0.061765486001968385,0.0,0.0,172
173,0.06147810578346252,0.0,0.0,173
174,0.04487498152640558,0.0,0.0,174
175,0.05634108321233229,0.0,0.0,175
176,0.07059693336486816,0.0,0.0,176
177,0.04474510303859053,0.0,0.0,177
178,0.05972158193588257,0.0,0.017130126953125,178
179,0.06224812939763069,0.020262351880470913,0.0,179
180,0.07594532966613769,0.0,0.0,180
181,0.024211711955792976,0.012986240061846647,0.0,181
182,0.09329018107166996,0.0,0.0,182
183,0.08158043297854337,0.0,0.0,183
184,0.14973977115005255,0.0,0.0,184
185,0.054389613680541515,0.0,0.0,185
186,0.08630268429887705,0.018276041951672786,0.0,186
187,0.050844709460551925,0.01913398389632885,0.0,187
188,0.03516147982689642,0.02618580287502658,0.0,188
189,0.09924778590599696,0.0,0.0,189
190,0.08377716898918151,0.0,0.0,190
191,0.08833028197288513,0.0,0.0,191
192,0.09683213382959366,0.01003459095954895,0.0,192
193,0.08598791807889938,0.0,0.0,193
194,0.08252330830222682,0.0,0.0,194
195,0.13280058594850394,0.0,0.0,195
