,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
0,0.04010660487871904,0.0,0.0,0.0,0.17137816032538047,0.0,0.0,0.0,0.0,0.018935433947123013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04977148255476585,0.0,0.050679084773247056,0.0,0.0,0.0,0.0
1,0.11778991964628112,0.0,0.0,0.0,0.14703557963641184,0.0,0.00815850777446099,0.0,0.005284033293993968,0.01357129694155927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11282121741546774,0.00862201710916915,0.021522916712850896,0.0,0.0,0.0,0.0
2,0.07444892237695415,0.0,0.0,0.0,0.10043633988734042,0.0,0.0,0.0,0.0,0.011136620901943593,0.010130396050013852,0.0,0.0,0.010868027638853266,0.0,0.0,0.0,0.0,0.0,0.0,0.05748414457514045,0.0,0.058981337908948404,0.005794825178853581,0.0,0.0,0.0
3,0.10796277815440916,0.0,0.0,0.0,0.11248893839008403,0.0,0.0,0.0,0.0,0.04471352640187965,0.0,0.0,0.0,0.0,0.0,0.036227561392874086,0.0,0.0,0.0,0.0,0.0736723485982643,0.0,0.04913475434735136,0.013103724650616915,0.0,0.0,0.0
4,0.0302154984114305,0.0,0.0,0.0,0.14936767321712566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09110313541484329,0.0,0.03609548424774746,0.009313898266486402,0.0,0.0,0.0
5,0.07292218310911147,0.0,0.0,0.0,0.1602200829103345,0.0,0.004469160662322748,0.0,0.01285622305557376,0.0064411891288444646,0.009096230395504685,0.0,0.0,0.013860810975559423,0.0,0.0038419058088396416,0.0,0.009667306894161662,0.0,0.0,0.05150449666820588,0.0,0.05170100927352905,0.007558180416216616,0.0,0.0,0.003855954183906805
6,0.02123529027248251,0.0,0.0,0.0,0.1750078453072186,0.0,0.0,0.0,0.0,0.021360911428928375,0.003123431884009263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07628157555029311,0.0,0.04075944654900452,0.0,0.0,0.006646676310177507,0.0
7,0.0,0.0,0.0,0.0,0.05028721365061673,0.0,0.0,0.0,0.02067738337950273,0.0,0.018001178177920255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024865510246970438,0.0,0.01921527331525629,0.0,0.0,0.0,0.0
8,0.013015708018993509,0.0,0.0,0.0,0.058808902948360726,0.0,0.0,0.0,0.0016776167700443363,0.012650155081537556,0.0,0.0,0.0,0.0020761114035921144,0.0,0.0049036303764493595,0.0,0.0,0.0,0.0,0.03170366489828514,0.0,0.026070107233348152,0.0,0.0,0.0,0.0
9,0.014991379620736106,0.0,0.0,0.0,0.09458666673877783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09171205027061596,0.0,0.044742482796049955,0.0,0.0,0.0,0.0
